title,image,image
Separating DC from an AC signal,/assets/images/seelab3/int/acdc-separating.svg,/assets/images/seelab3/int/acdc-separating.svg
AC Generator demo,/assets/images/seelab3/int/ac-generator.svg,/assets/images/seelab3/int/ac-generator.svg
AC Pickup,/assets/images/seelab3/int/ac-pickup.svg,/assets/images/seelab3/int/ac-pickup.svg
Resistance of the Body,/assets/images/seelab3/int/conducting-human.svg,/assets/images/seelab3/int/conducting-human.svg
Diode Clamping,/assets/images/seelab3/int/diodeclamping.svg,/assets/images/seelab3/int/diodeclamping.svg
Diode IV Characteristics,/assets/images/seelab3/int/diode_IV.svg,/assets/images/seelab3/int/diode_IV.svg
DIY Electrocardiogram,/assets/images/seelab3/int/ECG.svg,/assets/images/seelab3/int/ECG.svg
Full Wave Rectifier,/assets/images/seelab3/int/full wave rectifier.svg,/assets/images/seelab3/int/full wave rectifier.svg
Lemon Cell Battery,/assets/images/seelab3/int/lemon-cell-series.svg,/assets/images/seelab3/int/lemon-cell-series.svg
Lemon Cell,/assets/images/seelab3/int/lemon-cell.svg,/assets/images/seelab3/int/lemon-cell.svg
Ohmâ€™s Law,/assets/images/seelab3/int/Ohms Law.svg,/assets/images/seelab3/int/Ohms Law.svg
Output Impedance,/assets/images/seelab3/int/Output Impedance.svg,/assets/images/seelab3/int/Output Impedance.svg
Pressure Measurement with BMP280,/assets/images/seelab3/int/pressure_simple.svg,/assets/images/seelab3/int/pressure_simple.svg
Study of Sound,/assets/images/seelab3/int/sound.svg,/assets/images/seelab3/int/sound.svg
Bridge Rectifier,/assets/images/seelab3/int/bridge rectifier.svg,/assets/images/seelab3/int/bridge rectifier.svg
Diode Clipping,/assets/images/seelab3/int/diode clipping.svg,/assets/images/seelab3/int/diode clipping.svg
SR04 Echo Module,/assets/images/seelab3/int/Echo Module.svg,/assets/images/seelab3/int/Echo Module.svg
VL53L0X Lidar,/assets/images/seelab3/int/LIDAR (VL53L0X).svg,/assets/images/seelab3/int/LIDAR (VL53L0X).svg
Inverting Opamp,/assets/images/seelab3/int/opamp-inv.svg,/assets/images/seelab3/int/opamp-inv.svg
